City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.03,77.9,71,4,13.71,PF,1605197937
1,cabo san lucas,22.89,-109.91,75.0,60,20,6.93,MX,1605197672
2,busselton,-33.65,115.33,64.99,72,88,12.97,AU,1605197937
3,mercedes,-34.65,-59.43,84.0,57,0,1.99,AR,1605197937
4,cockburn town,21.46,-71.14,81.63,76,45,26.96,TC,1605197696
5,port elizabeth,-33.92,25.57,68.0,77,0,23.04,ZA,1605197937
6,salalah,17.02,54.09,80.6,65,0,2.24,OM,1605197937
7,almoloya,19.7,-98.4,59.0,67,5,4.7,MX,1605197937
8,hermanus,-34.42,19.23,89.01,43,6,5.06,ZA,1605197938
9,port alfred,-33.59,26.89,68.97,77,1,25.84,ZA,1605197938
10,rawson,-43.3,-65.1,74.79,28,3,2.06,AR,1605197938
11,cape town,-33.93,18.42,82.0,34,0,10.29,ZA,1605197654
12,stornoway,58.21,-6.39,50.0,87,75,28.86,GB,1605197667
13,tura,25.52,90.22,66.34,78,0,4.27,IN,1605197759
14,georgetown,5.41,100.34,80.6,94,20,2.08,MY,1605197820
15,fortuna,40.6,-124.16,44.01,93,90,6.93,US,1605197939
16,ushuaia,-54.8,-68.3,57.2,44,75,10.29,AR,1605197939
17,andros town,24.7,-77.77,82.4,74,40,17.22,BS,1605197939
18,havelock,34.88,-76.9,75.99,88,90,14.99,US,1605197849
19,qasigiannguit,68.82,-51.19,23.0,73,75,20.8,GL,1605197940
20,punta arenas,-53.15,-70.92,59.0,47,0,16.11,CL,1605197940
21,pevek,69.7,170.31,9.91,94,51,9.48,RU,1605197940
22,dikson,73.51,80.55,1.69,93,0,1.99,RU,1605197940
23,norman wells,65.28,-126.83,1.4,84,75,0.22,CA,1605197940
24,mataura,-46.19,168.86,48.99,92,18,1.01,NZ,1605197940
25,saskylakh,71.92,114.08,-12.93,89,0,1.81,RU,1605197941
26,portland,45.52,-122.68,37.4,86,1,2.95,US,1605197802
27,atasu,48.68,71.64,25.65,92,68,10.74,KZ,1605197941
28,ampanihy,-24.7,44.75,74.64,74,43,14.23,MG,1605197828
29,laguna,38.42,-121.42,41.0,86,1,4.38,US,1605197941
30,luanda,-8.84,13.23,84.2,70,40,10.29,AO,1605197798
31,adrar,20.5,-10.07,90.48,12,0,8.12,MR,1605197941
32,sangar,63.92,127.47,1.56,92,99,7.67,RU,1605197942
33,rikitea,-23.12,-134.97,72.79,80,20,18.61,PF,1605197942
34,yasothon,15.75,104.13,73.99,70,0,15.82,TH,1605197942
35,pisco,-13.7,-76.22,66.99,82,40,9.17,PE,1605197942
36,namibe,-15.2,12.15,78.8,69,40,20.8,AO,1605197943
37,kodiak,57.79,-152.41,41.0,52,75,20.8,US,1605197943
38,hirara,24.8,125.28,75.07,86,100,21.39,JP,1605197943
39,longwy,49.52,5.77,50.0,70,10,5.53,FR,1605197943
40,klaksvik,62.23,-6.59,44.6,93,100,13.87,FO,1605197943
41,new norfolk,-42.78,147.06,60.8,48,40,14.99,AU,1605197944
42,avera,33.19,-82.53,77.0,93,90,5.82,US,1605197944
43,nanortalik,60.14,-45.24,30.7,92,72,8.01,GL,1605197944
44,bilibino,68.05,166.44,1.65,89,100,5.53,RU,1605197944
45,olinda,-8.01,-34.86,84.2,66,40,9.17,BR,1605197945
46,valparaiso,-33.04,-71.63,57.0,100,90,4.7,CL,1605197702
